    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
10     10    50000.0  54999.0   [9704.286200000002]     [0.15129908124108893]    [-0.07137619566694454]   [0.017794783919597965]   100.0
11     11    55000.0  59999.0   [9564.000000000002]     [0.09239094542524336]   [-0.020969437835076925]   [0.018078030150753766]   100.0
12     12    60000.0  64999.0   [9564.000000000002]    [-0.08630964566051672]    [-0.02096943783508655]    [0.01600517587939695]   100.0
13     13    65000.0  69999.0   [9564.000000000002]    [-0.18020497419528944]   [-0.020969437835096544]    [0.01603787939698491]   100.0
14     14    70000.0  74999.0   [9564.000000000002]     [0.04399769656100886]   [-0.020969437835103206]   [0.017088040201005007]   100.0
15     15    75000.0  79999.0   [9564.000000000002]    [-0.30975967560601714]    [-0.02096943783511542]   [0.014673798994974837]   100.0
16     16    80000.0  84999.0   [9564.000000000002]     [-0.1039137450086726]    [-0.02096943783511764]   [0.016046683417085393]   100.0
17     17    85000.0  89999.0   [9572.420800000002]     [0.06343047352730857]    [-0.02317805382240022]   [0.015697185929648236]   100.0
18     18    90000.0  94999.0   [9639.052400000002]    [-0.09191063193089041]    [-0.04069525301312345]    [0.01643964824120603]   100.0
19     19    95000.0  99999.0   [9617.000000000002]    [-0.32896175952162965]   [-0.039113566832158664]   [0.014178783919597968]   100.0
0       0        0.0   4999.0           [10151.765]     [-0.9941934243739654]     [-0.9170489285971871]   [0.011676723618090372]   195.0
1       1     5000.0   9999.0  [10036.449200000001]      [-1.074515189473656]     [-0.9490111205867537]    [0.01109350753768838]   195.0
2       2    10000.0  14999.0   [9969.000000000002]      [-1.043038900552113]     [-0.9656174492441738]    [0.01148811055276375]   195.0
3       3    15000.0  19999.0             [9964.12]     [-1.0842887200623845]     [-0.9650660877234445]   [0.012152120603014982]   195.0
4       4    20000.0  24999.0   [9949.000000000002]     [-1.0487653477290988]     [-0.9633543367330042]    [0.01210216080402003]   195.0
5       5    25000.0  29999.0   [9925.160000000002]     [-0.8808944770064513]     [-0.9581226380515285]   [0.012473065326633089]   195.0
6       6    30000.0  34999.0   [9849.000000000002]     [-0.9367149612622938]     [-0.9412395960752222]   [0.012149507537688382]   195.0
7       7    35000.0  39999.0   [9849.000000000002]      [-0.844719209979949]     [-0.9412395960752222]    [0.01274256281407027]   195.0
8       8    40000.0  44999.0   [9849.000000000002]     [-0.9590790180735668]     [-0.9412395960752227]    [0.01114327638190948]   195.0
9       9    45000.0  49999.0   [9730.807200000001]     [-1.0286216734226297]      [-0.953259414480729]   [0.012609949748743628]   195.0
10     10    50000.0  54999.0   [9365.000000000002]     [-0.9207072686790679]     [-0.9923834359032677]   [0.012113366834170792]   195.0
