    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
10     10    50000.0  54999.0             [15547.0]      [0.5156523908505359]      [0.4261642734250498]    [0.03026715577889439]  2795.0
11     11    55000.0  59999.0           [15510.769]      [0.5136122685228474]      [0.5260837200325059]    [0.02989547738693467]  2795.0
12     12    60000.0  64999.0  [15499.000000000004]      [0.6290825478418776]      [0.6024009113662214]    [0.03330212060301515]  2795.0
13     13    65000.0  69999.0  [15771.727600000004]      [0.6853442244004001]      [0.7799516282281801]   [0.033335246231155816]  2795.0
14     14    70000.0  74999.0  [16086.000000000004]      [1.1588597065200075]      [0.9900686404405773]     [0.0360384120603015]  2795.0
15     15    75000.0  79999.0  [16086.000000000004]      [0.8422355991864655]      [0.9900686404405737]    [0.03566240201005027]  2795.0
16     16    80000.0  84999.0  [16086.000000000004]      [0.9165531695271966]      [0.9900686404405729]    [0.03697065326633174]  2795.0
17     17    85000.0  89999.0  [16102.361400000003]       [0.854279523148841]       [0.898429173816134]    [0.03499338693467335]  2795.0
18     18    90000.0  94999.0  [16044.302000000003]      [0.8881355058695999]      [0.8201349096218254]    [0.03472013065326634]  2795.0
19     19    95000.0  99999.0             [15933.0]      [0.8949558464207038]      [0.8731397501276903]   [0.034430030150753695]  2795.0
0       0        0.0   4999.0             [18881.0]      [0.8273095227291838]       [0.791813572502163]   [0.038695587939698455]  2800.0
1       1     5000.0   9999.0             [18881.0]      [0.9221459562180948]      [0.7918135725021608]   [0.039471145728643166]  2800.0
2       2    10000.0  14999.0             [18881.0]      [0.8325604605032331]        [0.79181357250216]    [0.04212825125628133]  2800.0
3       3    15000.0  19999.0          [18443.3592]      [0.5688689192048277]      [0.6763674060371125]   [0.037946110552763805]  2800.0
4       4    20000.0  24999.0  [15303.000000000004]      [0.5760581287532955]       [0.554776242885393]    [0.02887155778894474]  2800.0
5       5    25000.0  29999.0  [15303.000000000004]      [0.5149524582364462]      [0.5547762428853953]    [0.02998516582914578]  2800.0
6       6    30000.0  34999.0  [15303.000000000004]      [0.5729396760423792]      [0.5547762428853943]   [0.030691658291457338]  2800.0
7       7    35000.0  39999.0             [15303.0]      [0.7338355685132305]       [0.554776242885424]   [0.030240160804020144]  2800.0
8       8    40000.0  44999.0             [15303.0]      [0.6614435741789506]      [0.5547762428854282]   [0.030547155778894546]  2800.0
9       9    45000.0  49999.0             [15303.0]      [0.6773343975518465]      [0.5547762428854324]    [0.03050761809045228]  2800.0
10     10    50000.0  54999.0  [15303.000000000004]      [0.6318809705928402]      [0.5547762428854438]    [0.03092481407035179]  2800.0
11     11    55000.0  59999.0          [15264.6188]      [0.7372652377288378]      [0.7119265939007802]   [0.030893618090452428]  2800.0
12     12    60000.0  64999.0  [15242.000000000004]      [0.7666658815365432]      [0.8049090444434751]    [0.03436681407035188]  2800.0
13     13    65000.0  69999.0  [15514.727600000004]      [0.8450356866466383]      [0.9531565455900267]   [0.034269738693467444]  2800.0
14     14    70000.0  74999.0  [15829.000000000004]      [1.1920070875929358]      [1.1293848804764772]    [0.03640461306532675]  2800.0
15     15    75000.0  79999.0  [15829.000000000004]       [1.173347625421448]      [1.1293848804764888]   [0.036575356783919696]  2800.0
16     16    80000.0  84999.0             [15829.0]       [1.105989275675649]      [1.1293848804764925]   [0.037750562814070424]  2800.0
17     17    85000.0  89999.0          [15845.3614]      [0.9563563355833649]      [0.9662844460675474]   [0.035120603015075615]  2800.0
18     18    90000.0  94999.0   [15787.30199999999]      [0.8429311264004863]      [0.8383395735181371]   [0.033779809045226115]  2800.0
19     19    95000.0  99999.0   [15675.99999999999]      [0.9664799856382729]       [0.949008806889736]    [0.03463086432160809]  2800.0
0       0        0.0   4999.0             [18296.0]     [-0.9332434080583333]     [-0.7594409149504321]    [0.02186103517587938]  2895.0
1       1     5000.0   9999.0             [18296.0]      [-0.753526753117511]     [-0.7594409149504329]   [0.023553376884422116]  2895.0
2       2    10000.0  14999.0             [18296.0]     [-0.7937567642186804]     [-0.7594409149504321]   [0.024736844221105517]  2895.0
3       3    15000.0  19999.0          [17459.7008]     [-0.6433163425317787]      [-0.574638979259679]   [0.024087668341708543]  2895.0
4       4    20000.0  24999.0  [14204.000000000004]     [-0.1917174654144339]     [-0.2523543858298538]    [0.02174339698492465]  2895.0
5       5    25000.0  29999.0  [14204.000000000004]     [-0.3623430770837329]     [-0.2523543858298548]   [0.021513829145728674]  2895.0
6       6    30000.0  34999.0  [14224.490000000003]    [-0.20952319617759546]    [-0.28838465851610473]    [0.02288925628140712]  2895.0
7       7    35000.0  39999.0  [14229.000000000004]    [-0.22713915509795124]    [-0.29630125331657803]   [0.021520231155778967]  2895.0
8       8    40000.0  44999.0  [14229.000000000004]     [-0.2764793809379599]    [-0.29630125331657703]    [0.02194335678391964]  2895.0
9       9    45000.0  49999.0  [14229.000000000004]    [-0.19097655702069086]     [-0.2963012533165731]    [0.02271005025125638]  2895.0
10     10    50000.0  54999.0  [14229.000000000004]    [-0.10318628136878454]     [-0.2963012533165661]   [0.021622040201005124]  2895.0
11     11    55000.0  59999.0  [14190.618800000004]      [0.3706202980324425]     [0.28600328017907983]    [0.02643417085427147]  2895.0
12     12    60000.0  64999.0  [14168.018800000003]      [0.7311384142433301]      [0.6308651856921594]    [0.03034475376884431]  2895.0
13     13    65000.0  69999.0  [14451.782400000004]      [0.9023427314760224]      [0.7935757401881487]   [0.031269155778894525]  2895.0
14     14    70000.0  74999.0  [14805.000000000004]      [1.0612072790015246]      [0.9635632081036486]    [0.03256603015075387]  2895.0
15     15    75000.0  79999.0  [14805.000000000004]      [0.8195613533802198]      [0.9635632081036583]    [0.03268910552763823]  2895.0
16     16    80000.0  84999.0             [14805.0]      [0.8882635059058859]      [0.9635632081036607]    [0.03398337688442223]  2895.0
17     17    85000.0  89999.0          [14812.0752]      [1.0560397695360693]      [1.0299564485581856]    [0.03374621105527638]  2895.0
18     18    90000.0  94999.0  [14742.302000000003]      [1.1941928712573306]       [1.172130005457747]   [0.035303738693467326]  2895.0
19     19    95000.0  99999.0             [14631.0]      [1.1047728780293868]       [1.255960882995519]    [0.03390276381909548]  2895.0
0       0        0.0   4999.0             [18838.0]     [-0.5674042887787516]     [-0.3757607788848813]   [0.026875678391959725]  2900.0
1       1     5000.0   9999.0             [18838.0]    [-0.37787172771613686]     [-0.3757607788848802]    [0.02819417085427132]  2900.0
2       2    10000.0  14999.0             [18838.0]    [-0.39920926094837283]     [-0.3757607788848802]   [0.029713959798994966]  2900.0
3       3    15000.0  19999.0          [17978.4328]     [-0.3440712441323292]     [-0.2429860675243849]   [0.028103407035175748]  2900.0
4       4    20000.0  24999.0  [14716.000000000004]      [-0.102313449068752]    [-0.05633439789080694]   [0.023936512562814077]  2900.0
5       5    25000.0  29999.0  [14709.539000000002]    [-0.15866626770056133]    [-0.05292166148594133]    [0.02363276381909545]  2900.0
6       6    30000.0  34999.0  [14704.639200000003]    [0.027922054028052354]    [-0.06236666218444915]   [0.025178301507537675]  2900.0
7       7    35000.0  39999.0  [14705.000000000004]    [0.034566325871619875]    [-0.06520609924908534]   [0.024025256281406993]  2900.0
8       8    40000.0  44999.0  [14705.000000000004]    [-0.04186324559727054]    [-0.06520609924908292]    [0.02436768844221103]  2900.0
9       9    45000.0  49999.0  [14705.000000000004]     [0.04844968723336088]     [-0.0652060992490786]   [0.025061135678391955]  2900.0
10     10    50000.0  54999.0  [14705.000000000004]    [-0.03554789235119144]    [-0.06520609924906656]    [0.02444985929648238]  2900.0
11     11    55000.0  59999.0  [14666.618800000004]      [0.2803386754278594]      [0.2231154824945675]   [0.026545608040201164]  2900.0
12     12    60000.0  64999.0  [14644.000000000004]      [0.5024944340110994]     [0.39373687100376464]    [0.02941294472361828]  2900.0
13     13    65000.0  69999.0          [14936.2216]       [0.505813525875428]      [0.5641216563638575]     [0.0304236281407037]  2900.0
14     14    70000.0  74999.0  [15325.999999999996]      [0.8084557922798358]      [0.7514004781019624]    [0.03208841206030167]  2900.0
15     15    75000.0  79999.0  [15314.591199999997]      [0.6506473328080801]      [0.7819760921762351]   [0.032466271356783816]  2900.0
16     16    80000.0  84999.0  [15313.485399999998]      [0.6837192397851182]      [0.7866420233483523]    [0.03332136683417078]  2900.0
17     17    85000.0  89999.0  [15307.479199999996]      [0.9160414448058763]      [0.8490269238963161]   [0.033557909547738594]  2900.0
18     18    90000.0  94999.0  [15233.301999999998]      [1.0501209566143137]      [0.9520360719301428]    [0.03473688442211058]  2900.0
19     19    95000.0  99999.0  [15121.999999999995]       [0.995775888426297]      [1.0320766644956754]   [0.033314703517587876]  2900.0
0       0        0.0   4999.0             [17706.0]    [-0.05373767523253461]     [0.16793519185628267]   [0.030371407035175855]  2995.0
1       1     5000.0   9999.0             [17706.0]     [0.06986646142087817]     [0.16793519185627545]    [0.03256611055276373]  2995.0
2       2    10000.0  14999.0             [17706.0]      [0.1312200502752187]     [0.16793519185624986]    [0.03338605025125619]  2995.0
3       3    15000.0  19999.0           [16770.543]     [0.21562089522175182]      [0.2108549312940519]     [0.0298680703517589]  2995.0
4       4    20000.0  24999.0  [13491.000000000004]     [0.32711848762874696]     [0.36689988924731315]    [0.02446357788944742]  2995.0
5       5    25000.0  29999.0  [13491.000000000004]      [0.2526029272240347]     [0.36689988924731315]   [0.024939909547738847]  2995.0
6       6    30000.0  34999.0  [13491.000000000004]      [0.3567804647931761]      [0.3668998892473121]    [0.02606746733668357]  2995.0
7       7    35000.0  39999.0  [13491.000000000004]      [0.2938214448446754]      [0.3668998892473331]    [0.02523644221105543]  2995.0
8       8    40000.0  44999.0  [13491.000000000004]      [0.4087555119456503]      [0.3668998892473373]   [0.025104402010050427]  2995.0
9       9    45000.0  49999.0  [13491.000000000004]     [0.35840464927495547]      [0.3668998892473347]   [0.026268452261306675]  2995.0
10     10    50000.0  54999.0  [13491.000000000004]      [0.4106273291791102]     [0.36689988924732786]   [0.025769758793970043]  2995.0
11     11    55000.0  59999.0  [13452.618800000004]     [0.34049211071382257]      [0.4029054369286856]   [0.025459286432161037]  2995.0
12     12    60000.0  64999.0  [13430.000000000004]     [0.49841307669728613]     [0.42422059523035105]    [0.02717989949748764]  2995.0
13     13    65000.0  69999.0  [13708.678400000003]      [0.5003525019876668]      [0.6688213081426411]   [0.027862532663316786]  2995.0
14     14    70000.0  74999.0  [14046.000000000004]      [0.9464296424235311]       [0.951909602403913]    [0.03133986934673392]  2995.0
15     15    75000.0  79999.0  [14046.000000000004]       [0.794868445912338]      [0.9519096024039216]    [0.03079234170854291]  2995.0
16     16    80000.0  84999.0  [14046.000000000004]       [0.782662372128994]      [0.9519096024039221]    [0.03179818090452283]  2995.0
17     17    85000.0  89999.0  [14053.075200000007]      [0.9567983857707698]      [0.9658417545231335]    [0.03163857286432173]  2995.0
18     18    90000.0  94999.0  [14107.279200000012]       [1.119348595897682]      [0.9548158728769135]    [0.03264211055276398]  2995.0
19     19    95000.0  99999.0  [14134.613600000019]      [0.9165451210722265]      [0.9250347314538422]   [0.029891216080402155]  2995.0
0       0        0.0   4999.0             [17688.0]    [-0.22223329572046738]  [-0.0069401522277711515]   [0.028881778894472437]  3000.0
1       1     5000.0   9999.0             [17688.0]    [-0.02094134043037759]   [-0.006940152227770351]   [0.030889045226130663]  3000.0
2       2    10000.0  14999.0          [17645.1888]    [0.015876063230107335]   [-0.006261477155697136]    [0.03158679396984927]  3000.0
3       3    15000.0  19999.0           [16711.448]  [-0.0022550617186255506]    [0.016859495760208697]    [0.02804080402010059]  3000.0
4       4    20000.0  24999.0  [13436.000000000004]     [0.11078237885058626]      [0.1244229124560935]    [0.02296869346733684]  3000.0
5       5    25000.0  29999.0  [13436.000000000004]     [0.03165918443209417]      [0.1244229124560935]   [0.022937758793969937]  3000.0
6       6    30000.0  34999.0  [13436.000000000004]      [0.2535184949866181]     [0.12442291245609245]   [0.024101889447236305]  3000.0
7       7    35000.0  39999.0  [13436.000000000004]     [0.19133274748731527]     [0.12442291245610984]   [0.023272824120603133]  3000.0
8       8    40000.0  44999.0  [13436.000000000004]     [0.14454460393939994]     [0.12442291245611406]    [0.02334429145728657]  3000.0
9       9    45000.0  49999.0  [13436.000000000004]      [0.1444436131421045]     [0.12442291245610931]    [0.02430409045226144]  3000.0
10     10    50000.0  54999.0  [13436.000000000004]     [0.12209850814890681]     [0.12442291245610035]   [0.023930361809045366]  3000.0
11     11    55000.0  59999.0  [13436.000000000004]     [0.16867089599350554]     [0.12442291245609982]   [0.023440361809045365]  3000.0
12     12    60000.0  64999.0  [13436.000000000004]      [0.2329530385655426]     [0.12442291245608612]   [0.025127095477387094]  3000.0
13     13    65000.0  69999.0  [13714.678400000003]      [0.1991672605904895]      [0.3343352023200886]   [0.025929185929648383]  3000.0
14     14    70000.0  74999.0  [14052.000000000004]      [0.6267540386960874]      [0.5772816564507239]   [0.028322663316583015]  3000.0
15     15    75000.0  79999.0  [14052.000000000004]      [0.4550622170372939]      [0.5772816564507134]   [0.027872472361809116]  3000.0
16     16    80000.0  84999.0  [14052.000000000004]      [0.5669288578338203]      [0.5772816564507139]   [0.029202241206030207]  3000.0
17     17    85000.0  89999.0  [14059.075200000003]      [0.7116845463989123]      [0.7303545015605623]   [0.029779738693467384]  3000.0
18     18    90000.0  94999.0  [14115.943200000018]       [1.072453469633172]       [0.874935767508067]    [0.03215292462311561]  3000.0
19     19    95000.0  99999.0  [14200.613600000033]      [0.7874937324218528]      [0.8024397514037183]   [0.029084391959799036]  3000.0
0       0        0.0   4999.0             [17159.0]     [-0.7859591755968196]     [-0.4795870980384416]    [0.02231542713567834]  3095.0
1       1     5000.0   9999.0          [17240.5168]     [-0.4080035898415604]    [-0.47545540476054415]   [0.025871577889447127]  3095.0
2       2    10000.0  14999.0             [17535.0]     [-0.4394311392322028]     [-0.4608495264146577]   [0.027053778894472264]  3095.0
3       3    15000.0  19999.0          [16727.6396]     [-0.4080960449641555]    [-0.40276433528328415]   [0.024710120603015022]  3095.0
4       4    20000.0  24999.0  [13466.000000000004]     [-0.1506258555289138]     [-0.0727366708900314]   [0.020967547738693467]  3095.0
5       5    25000.0  29999.0  [13466.000000000004]    [-0.16019871495757407]    [-0.07273667089003193]   [0.021355155778894457]  3095.0
6       6    30000.0  34999.0  [13466.000000000004]    [-0.04235029524739229]    [-0.07273667089003244]   [0.023019618090452252]  3095.0
7       7    35000.0  39999.0  [13466.000000000004]    [-0.10806872923585989]     [-0.0727366708900314]    [0.02260851256281404]  3095.0
8       8    40000.0  44999.0  [13466.000000000004]    [0.011319910149501539]    [-0.07273667089002982]   [0.022588964824120566]  3095.0
9       9    45000.0  49999.0  [13466.000000000004]     [0.06402756489428388]     [-0.0727366708900335]   [0.023235989949748737]  3095.0
10     10    50000.0  54999.0  [13466.000000000004]    [0.030525389920432754]    [-0.07273667089004086]   [0.023273497487437164]  3095.0
11     11    55000.0  59999.0  [13484.326400000004]    [0.048536705415894506]    [-0.07692056136929128]   [0.022849658291457242]  3095.0
12     12    60000.0  64999.0  [13490.000000000004]   [-0.060447661112879324]    [-0.07821353158443886]   [0.022955115577889408]  3095.0
13     13    65000.0  69999.0  [13768.678400000003]    [0.051892104658907416]      [0.1971004430236479]    [0.02401496482412059]  3095.0
14     14    70000.0  74999.0  [14464.291800000003]      [0.6567318484409156]     [0.46523190258986846]    [0.02833886432160811]  3095.0
15     15    75000.0  79999.0  [15012.570600000003]     [0.19444551626616124]       [0.395793688016441]   [0.028456452261306588]  3095.0
16     16    80000.0  84999.0  [15012.000000000004]     [0.38586846860565704]      [0.4003667185122871]    [0.02871914572864325]  3095.0
17     17    85000.0  89999.0          [14863.8714]      [0.5080140095804722]      [0.3984976040678051]   [0.028865597989949806]  3095.0
18     18    90000.0  94999.0  [14760.467400000003]       [0.450254284422935]      [0.4217547393243064]   [0.029969547738693467]  3095.0
19     19    95000.0  99999.0          [14758.0096]     [0.39315694924261085]     [0.46414005836272704]   [0.026982251256281432]  3095.0
0       0        0.0   4999.0             [17425.0]     [-0.5604894703667701]     [-0.3335058668639948]   [0.024608834170854674]  3100.0
1       1     5000.0   9999.0          [17506.5168]     [-0.2788900096842169]     [-0.3232879260744892]    [0.02758899497487473]  3100.0
2       2    10000.0  14999.0             [17801.0]    [-0.29047681254022195]    [-0.28715483050669566]   [0.029464080402010342]  3100.0
3       3    15000.0  19999.0          [16993.6396]      [-0.250741629477663]    [-0.25781734002394296]   [0.026722170854271674]  3100.0
4       4    20000.0  24999.0             [13732.0]    [-0.12426228669607475]    [-0.06367457921757706]   [0.021475517587939884]  3100.0
5       5    25000.0  29999.0             [13732.0]  [-0.0027534359814885075]    [-0.06367457921757655]   [0.021980010050251447]  3100.0
6       6    30000.0  34999.0             [13732.0]    [-0.02087419701854587]    [-0.06367457921757706]   [0.023378482412060527]  3100.0
7       7    35000.0  39999.0             [13732.0]    [-0.14086050653728355]     [-0.0636745792175786]   [0.023184130653266546]  3100.0
8       8    40000.0  44999.0             [13732.0]    [0.018856380359702753]    [-0.06367457921757706]   [0.023326804020100716]  3100.0
9       9    45000.0  49999.0             [13732.0]     [-0.0023849945894107]    [-0.06367457921757809]   [0.023581889447236402]  3100.0
10     10    50000.0  54999.0             [13732.0]     [0.10755928332769917]    [-0.06367457921757809]    [0.02403718592964845]  3100.0
11     11    55000.0  59999.0           [13742.064]   [-0.028645160534154085]    [-0.06597334137208043]    [0.02325409045226152]  3100.0
12     12    60000.0  64999.0             [13748.0]    [-0.03038839777110923]    [-0.06732763106765335]   [0.023308834170854505]  3100.0
13     13    65000.0  69999.0  [14026.678400000003]     [0.04178565982925035]     [0.16115405124555576]    [0.02425110552763841]  3100.0
14     14    70000.0  74999.0  [14722.291800000003]      [0.5799492106271115]     [0.39511281582313174]     [0.0282185125628142]  3100.0
15     15    75000.0  79999.0  [15270.570600000003]       [0.237464539382424]      [0.3534501959608366]    [0.02881528643216086]  3100.0
16     16    80000.0  84999.0  [15270.000000000004]      [0.3147888985827603]      [0.3542541702070226]    [0.02886240201005038]  3100.0
17     17    85000.0  89999.0          [15128.9466]     [0.39005412579138793]      [0.3080085300930084]   [0.028447246231155878]  3100.0
18     18    90000.0  94999.0  [15034.467399999989]     [0.33214818754125275]     [0.30303425404479395]   [0.029079376884422165]  3100.0
19     19    95000.0  99999.0  [15032.009599999988]       [0.321694313346622]     [0.36456500526078206]   [0.026897105527638354]  3100.0
0       0        0.0   4999.0             [16692.0]     [-0.6426163806367019]    [-0.41241569038676673]   [0.023002572864321807]  3195.0
1       1     5000.0   9999.0          [16773.5168]     [-0.3247647931118798]    [-0.40602080320834383]    [0.02620882412060323]  3195.0
2       2    10000.0  14999.0             [17068.0]     [-0.2941379719953744]     [-0.3834279006018876]   [0.027012502512563003]  3195.0
3       3    15000.0  19999.0          [16160.8212]    [-0.34354452549836434]     [-0.3243506068133379]   [0.025003829145728823]  3195.0
4       4    20000.0  24999.0  [12885.000000000002]    [-0.10795438688504834]    [-0.04534608149673539]   [0.020601356783919722]  3195.0
5       5    25000.0  29999.0  [12885.000000000002]   [-0.030149358724835183]   [-0.045346081496734844]   [0.021151437185929767]  3195.0
6       6    30000.0  34999.0  [12885.000000000002]    [-0.06442821746505535]   [-0.045346081496734844]   [0.021991618090452403]  3195.0
7       7    35000.0  39999.0  [12886.734000000002]    [-0.11132801815916084]    [-0.05499206628904049]   [0.021894261306532797]  3195.0
8       8    40000.0  44999.0  [12885.000000000002]    [0.008316169506075506]    [-0.05676625463042543]   [0.021919236180904658]  3195.0
9       9    45000.0  49999.0  [12885.000000000002]     [0.12872414475567337]    [-0.05676625463042818]   [0.022490723618090607]  3195.0
10     10    50000.0  54999.0  [12885.000000000002]      [0.1289613637413203]   [-0.056766254630442464]    [0.02284643216080416]  3195.0
11     11    55000.0  59999.0  [12885.000000000004]    [0.018453784784947597]    [-0.05676625463044245]   [0.022090964824120728]  3195.0
12     12    60000.0  64999.0  [12885.000000000002]    [-0.05963025981706053]    [-0.05676625463042103]   [0.021557155778894624]  3195.0
13     13    65000.0  69999.0          [13163.6784]     [0.18332926445351533]      [0.2375805355571253]    [0.02354195979899514]  3195.0
14     14    70000.0  74999.0  [13768.437400000003]      [0.8971882537933518]      [0.6721072487072193]     [0.0294031758793971]  3195.0
15     15    75000.0  79999.0  [14200.000000000004]      [0.8526870372887791]      [0.8170881924297814]    [0.03046178894472366]  3195.0
16     16    80000.0  84999.0  [14200.000000000004]      [0.6963917950003803]      [0.8170881924297799]   [0.030243125628140757]  3195.0
17     17    85000.0  89999.0  [14051.871400000004]       [0.964446310303088]      [0.8200475856428803]   [0.029751597989949856]  3195.0
18     18    90000.0  94999.0   [13937.21780000001]      [0.8250577479031076]      [0.8284403807262251]   [0.030212140703517736]  3195.0
19     19    95000.0  99999.0  [13948.753600000027]      [0.7743940608291641]      [0.8396644158095673]    [0.02793409045226149]  3195.0
0       0        0.0   4999.0             [16534.0]     [-0.7250911906323821]     [-0.5002610776075093]   [0.022266020100502652]  3200.0
1       1     5000.0   9999.0          [16613.3544]     [-0.3333636969472862]      [-0.489576419564938]   [0.025184030150753937]  3200.0
2       2    10000.0  14999.0           [16907.218]    [-0.42537539611053565]     [-0.4524051316297405]   [0.025948301507537855]  3200.0
3       3    15000.0  19999.0          [16103.8212]    [-0.38744992280601565]    [-0.41613908976087427]   [0.024292150753768976]  3200.0
4       4    20000.0  24999.0  [12828.000000000004]    [-0.21994968519548644]    [-0.15928619217368034]    [0.01966767839195992]  3200.0
5       5    25000.0  29999.0  [12828.000000000004]    [-0.15063690572678345]     [-0.1592861921736809]    [0.02022069346733678]  3200.0
6       6    30000.0  34999.0  [12828.000000000002]    [-0.09346067001586199]    [-0.15928619217368092]     [0.0209290351758795]  3200.0
7       7    35000.0  39999.0  [12800.711600000002]    [-0.13401522228638446]     [-0.1650186611259386]   [0.020885417085427217]  3200.0
8       8    40000.0  44999.0  [12794.000000000002]    [-0.09635528331672738]    [-0.16643231246514542]   [0.020810492462311644]  3200.0
9       9    45000.0  49999.0  [12794.000000000002]     [0.06211024355379245]     [-0.1664323124651382]    [0.02155643216080412]  3200.0
10     10    50000.0  54999.0  [12794.000000000002]    [-0.06177975427677871]    [-0.16643231246511997]   [0.021943306532663433]  3200.0
11     11    55000.0  59999.0  [12794.000000000002]    [-0.08082520376537634]    [-0.16643231246512052]    [0.02114663316582924]  3200.0
12     12    60000.0  64999.0  [12794.000000000002]    [-0.17031986709792163]      [-0.166432312465136]   [0.020477829145728762]  3200.0
13     13    65000.0  69999.0          [13072.6784]      [0.0394037159529973]      [0.1013568821179975]   [0.022372060301507648]  3200.0
14     14    70000.0  74999.0  [13677.437400000003]      [0.5239229416587963]     [0.42684246537020026]   [0.027366643216080462]  3200.0
15     15    75000.0  79999.0  [14109.000000000004]      [0.4422591380860941]     [0.45174185440350023]   [0.027465577889447246]  3200.0
16     16    80000.0  84999.0  [14109.000000000004]     [0.33272202043635096]     [0.45174185440350273]   [0.027356522613065357]  3200.0
17     17    85000.0  89999.0          [13960.8714]     [0.46827044054407685]      [0.4437917431403954]   [0.027037206030150758]  3200.0
18     18    90000.0  94999.0   [13843.31840000001]      [0.4359816756198727]     [0.44290121796992554]   [0.027109296482412094]  3200.0
19     19    95000.0  99999.0  [13857.333400000027]     [0.46469466213596505]      [0.4637771661303625]   [0.025297396984924586]  3200.0
0       0        0.0   4999.0           [16886.084]     [-0.8434862134365684]     [-0.7302733097550514]   [0.021989165829145615]  3295.0
1       1     5000.0   9999.0          [16848.4492]     [-0.6461101692165601]      [-0.713427447850135]   [0.023570964824120494]  3295.0
2       2    10000.0  14999.0          [16838.0232]     [-0.6071775950054763]     [-0.6467969632525239]   [0.024204311557788835]  3295.0
3       3    15000.0  19999.0          [15931.1892]      [-0.636390304317995]     [-0.6522418642893862]   [0.022456331658291345]  3295.0
4       4    20000.0  24999.0  [12653.000000000002]     [-0.7637535933048879]     [-0.6006843455972639]   [0.016041095477386903]  3295.0
5       5    25000.0  29999.0  [12653.000000000002]     [-0.5840001073671626]     [-0.6006843455972634]   [0.016883979899497432]  3295.0
6       6    30000.0  34999.0  [12653.000000000002]     [-0.6660952326126955]     [-0.6006843455972634]    [0.01760046231155777]  3295.0
7       7    35000.0  39999.0  [12653.000000000002]     [-0.6153216127287949]     [-0.6006843455972583]   [0.017785839195979848]  3295.0
8       8    40000.0  44999.0             [12653.0]     [-0.5607916226214799]     [-0.6006843455972588]   [0.017680613065326586]  3295.0
9       9    45000.0  49999.0  [12653.000000000002]     [-0.5547237916403306]     [-0.6006843455972588]    [0.01831360804020098]  3295.0
10     10    50000.0  54999.0  [12653.000000000002]     [-0.5153686943794674]     [-0.6006843455972538]   [0.018871025125628084]  3295.0
11     11    55000.0  59999.0  [12653.000000000002]     [-0.6162759157978548]     [-0.6006843455972477]    [0.01788957788944717]  3295.0
12     12    60000.0  64999.0  [12653.000000000002]     [-0.5226728317781519]     [-0.6006843455972253]    [0.01773491457286426]  3295.0
13     13    65000.0  69999.0          [12931.6784]     [-0.4557972716997812]      [-0.411087391624323]   [0.018497738693467308]  3295.0
14     14    70000.0  74999.0  [13536.437400000003]    [-0.09922188486782788]    [-0.23264812436244992]   [0.021979698492462292]  3295.0
15     15    75000.0  79999.0  [13976.131200000003]    [-0.26996189498145956]    [-0.29654235025582665]    [0.02167989949748747]  3295.0
16     16    80000.0  84999.0  [14024.000000000004]    [-0.35019405004989507]     [-0.3080444841051326]   [0.021544713567839224]  3295.0
17     17    85000.0  89999.0          [13856.0924]    [-0.31899264814095507]     [-0.3119729287885495]   [0.020827758793969885]  3295.0
18     18    90000.0  94999.0  [13871.575000000024]     [-0.5512155588232825]    [-0.49097155067502635]    [0.01977867336683428]  3295.0
19     19    95000.0  99999.0  [14023.813800000033]     [-0.8322504986847408]      [-0.830281425642677]   [0.016781165829145735]  3295.0
0       0        0.0   4999.0           [16881.084]     [-1.0358916081445537]     [-0.9240556393030926]   [0.020277547738693773]  3300.0
1       1     5000.0   9999.0          [16845.1816]      [-0.870656000158793]     [-0.9139575714100412]   [0.021887005025125937]  3300.0
2       2    10000.0  14999.0             [16835.0]     [-0.8229975487641387]     [-0.8631345326604507]   [0.022077256281407335]  3300.0
3       3    15000.0  19999.0  [15926.189200000003]     [-0.8761128348305737]     [-0.8606808152076783]   [0.020594462311558006]  3300.0
4       4    20000.0  24999.0  [12648.000000000002]     [-0.9629977034233277]      [-0.811578566818002]    [0.01490304522613068]  3300.0
5       5    25000.0  29999.0  [12648.000000000002]     [-0.7896269111908867]     [-0.8115785668179998]   [0.015408180904522669]  3300.0
6       6    30000.0  34999.0  [12648.000000000002]     [-0.8426643121787878]     [-0.8115785668180003]     [0.0161033266331659]  3300.0
7       7    35000.0  39999.0  [12648.000000000002]      [-0.839162956076496]     [-0.8115785668180255]   [0.016404562814070395]  3300.0
8       8    40000.0  44999.0  [12648.000000000002]     [-0.8105206019468776]     [-0.8115785668180355]    [0.01611752763819102]  3300.0
9       9    45000.0  49999.0  [12648.000000000002]     [-0.6575736632789618]      [-0.811578566818039]    [0.01676393969849253]  3300.0
10     10    50000.0  54999.0  [12648.000000000002]     [-0.6940463043171341]     [-0.8115785668180381]   [0.017166572864321692]  3300.0
11     11    55000.0  59999.0  [12648.000000000002]     [-0.9008224896779023]     [-0.8115785668180336]    [0.01624880402010059]  3300.0
12     12    60000.0  64999.0  [12648.000000000002]     [-0.7431579661716246]     [-0.8115785668180465]   [0.016149809045226202]  3300.0
13     13    65000.0  69999.0          [12926.6784]     [-0.6735879301344747]     [-0.6433438993394663]   [0.016901527638191027]  3300.0
14     14    70000.0  74999.0  [13531.437400000003]    [-0.39404095402629485]      [-0.497894419831988]   [0.020168221105527726]  3300.0
