       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        1  1152521        9.193796          9.194668   1.970924
1       0.0      1    50000.0   99999.0        1  1144968       10.179403         10.186325   1.941714
2       0.0      2   100000.0  149999.0        2  1182172       10.194547         10.202166   1.920065
3       0.0      3   150000.0  199999.0        1  1105902       10.224916         10.229823   2.064795
4       0.0      4   200000.0  249999.0        0  1157755       10.240094         10.240272   2.147884
5       0.0      5   250000.0  299999.0        1  1102914       10.216066         10.219865   1.998218
6       0.0      6   300000.0  349999.0        3  1130665       10.226369         10.225028   1.986795
7       0.0      7   350000.0  399999.0        2  1153689       10.262522         10.265379   2.285995
8       0.0      8   400000.0  449999.0        0  1121371       10.198467         10.207471   1.948948
9       0.0      9   450000.0  499999.0        1  1119183       10.232405         10.229358   2.088023
10      0.0     10   500000.0  549999.0        0  1160040        9.227861          9.237536   1.786908
11      0.0     11   550000.0  599999.0        1  1143163        7.364661          7.370161   2.022065
12      0.0     12   600000.0  649999.0        0  1152535       10.254380         10.257381   2.212161
13      0.0     13   650000.0  699999.0        1  1114988        7.048873          7.032865   1.893500
14      0.0     14   700000.0  749999.0        1  1125035        8.085097          8.088415   2.220943
15      0.0     15   750000.0  799999.0        1  1117911       10.220449         10.222108   1.994698
16      0.0     16   800000.0  849999.0        1  1117665        8.053729          8.047151   2.162520
17      0.0     17   850000.0  899999.0        1  1123348        8.198778          8.200070   2.582769
18      0.0     18   900000.0  949999.0        1  1096319        5.963477          5.976178   2.221643
19      0.0     19   950000.0  999999.0        1  1147600        6.124021          6.137308   2.365170
20    100.0      0        0.0   49999.0        1  1152521        6.063905          6.062248   1.950588
21    100.0      1    50000.0   99999.0        1  1144968        6.119908          6.122089   1.937208
22    100.0      2   100000.0  149999.0        2  1182172        6.136071          6.136903   1.916124
23    100.0      3   150000.0  199999.0        1  1105902        6.085972          6.087490   2.048728
24    100.0      4   200000.0  249999.0        0  1157755        6.041219          6.041293   2.120043
25    100.0      5   250000.0  299999.0        1  1102914        6.019624          6.024561   1.969372
26    100.0      6   300000.0  349999.0        3  1130665        5.967215          5.969677   1.945523
27    100.0      7   350000.0  399999.0        2  1153689        5.995615          5.996235   2.243321
28    100.0      8   400000.0  449999.0        0  1121371        6.006524          6.010788   1.919245
29    100.0      9   450000.0  499999.0        1  1119183        6.021480          6.022721   2.057653
30    100.0     10   500000.0  549999.0        0  1160040        5.614962          5.617287   1.821261
31    100.0     11   550000.0  599999.0        1  1143163        4.505212          4.506644   2.144088
32    100.0     12   600000.0  649999.0        0  1152535        5.996149          5.996820   2.170573
33    100.0     13   650000.0  699999.0        1  1114988        4.100540          4.092409   1.966461
34    100.0     14   700000.0  749999.0        1  1125035        4.936835          4.937287   2.323672
35    100.0     15   750000.0  799999.0        1  1117911        6.034797          6.037133   1.968161
36    100.0     16   800000.0  849999.0        1  1117665        4.974650          4.973492   2.279970
37    100.0     17   850000.0  899999.0        1  1123348        4.050368          4.051072   2.387634
38    100.0     18   900000.0  949999.0        1  1096319        2.722374          2.727174   2.113489
39    100.0     19   950000.0  999999.0        1  1147600        3.555064          3.560728   2.519320
40    200.0      0        0.0   49999.0        1  1152521        4.708802          4.708243   1.979157
41    200.0      1    50000.0   99999.0        1  1144968        4.384553          4.381752   1.959016
42    200.0      2   100000.0  149999.0        2  1182172        6.205939          6.204822   1.929077
43    200.0      3   150000.0  199999.0        1  1105902        6.209196          6.209011   2.074517
44    200.0      4   200000.0  249999.0        0  1157755        6.212540          6.214257   2.158876
45    200.0      5   250000.0  299999.0        1  1102914        6.205396          6.207276   2.007689
46    200.0      6   300000.0  349999.0        3  1130665        6.207952          6.211577   1.995998
47    200.0      7   350000.0  399999.0        2  1153689        6.200739          6.203878   2.293098
48    200.0      8   400000.0  449999.0        0  1121371        6.190853          6.194242   1.956759
49    200.0      9   450000.0  499999.0        1  1119183        6.195251          6.199049   2.096794
50    200.0     10   500000.0  549999.0        0  1160040        5.443076          5.449873   1.785973
51    200.0     11   550000.0  599999.0        1  1143163        3.532715          3.534166   1.874814
52    200.0     12   600000.0  649999.0        0  1152535        6.208034          6.209001   2.220878
53    200.0     13   650000.0  699999.0        1  1114988        3.954910          3.942823   1.926783
54    200.0     14   700000.0  749999.0        1  1125035        4.322908          4.325300   2.148760
55    200.0     15   750000.0  799999.0        1  1117911        6.181924          6.182864   1.998376
56    200.0     16   800000.0  849999.0        1  1117665        4.478505          4.478770   2.141619
57    200.0     17   850000.0  899999.0        1  1123348        3.792702          3.792257   2.302769
58    200.0     18   900000.0  949999.0        1  1096319        1.869594          1.876891   1.810739
59    200.0     19   950000.0  999999.0        1  1147600        3.008855          3.018135   2.316527
60    300.0      0        0.0   49999.0        1  1152521        5.588144          5.583180   2.010458
61    300.0      1    50000.0   99999.0        1  1144968        6.199975          6.201759   1.953072
62    300.0      2   100000.0  149999.0        2  1182172        6.196917          6.197702   1.927621
63    300.0      3   150000.0  199999.0        1  1105902        6.180700          6.178824   2.067049
64    300.0      4   200000.0  249999.0        0  1157755        6.201040          6.203411   2.155563
65    300.0      5   250000.0  299999.0        1  1102914        6.176232          6.180598   2.002507
66    300.0      6   300000.0  349999.0        3  1130665        6.193179          6.196024   1.993332
67    300.0      7   350000.0  399999.0        2  1153689        6.211482          6.212535   2.295709
68    300.0      8   400000.0  449999.0        0  1121371        6.170120          6.175800   1.953039
69    300.0      9   450000.0  499999.0        1  1119183        6.174591          6.174849   2.091784
70    300.0     10   500000.0  549999.0        0  1160040        5.491316          5.498109   1.797682
71    300.0     11   550000.0  599999.0        1  1143163        3.739451          3.740368   1.933436
72    300.0     12   600000.0  649999.0        0  1152535        6.147883          6.145534   2.207078
73    300.0     13   650000.0  699999.0        1  1114988        4.615177          4.606969   2.104911
74    300.0     14   700000.0  749999.0        1  1125035        4.424017          4.425916   2.178785
75    300.0     15   750000.0  799999.0        1  1117911        6.150016          6.148164   1.991990
76    300.0     16   800000.0  849999.0        1  1117665        4.674587          4.674719   2.195896
77    300.0     17   850000.0  899999.0        1  1123348        3.626040          3.626521   2.473986
78    300.0     18   900000.0  949999.0        1  1096319        2.257822          2.265087   1.949172
79    300.0     19   950000.0  999999.0        1  1147600        3.052973          3.060213   2.334309
80    400.0      0        0.0   49999.0        1  1152521        5.080407          5.079747   2.071731
81    400.0      1    50000.0   99999.0        1  1144968        4.689130          4.685817   2.037341
82    400.0      2   100000.0  149999.0        2  1182172        6.190872          6.192481   1.928449
83    400.0      3   150000.0  199999.0        1  1105902        6.193351          6.193052   2.072139
84    400.0      4   200000.0  249999.0        0  1157755        6.193041          6.194829   2.155671
85    400.0      5   250000.0  299999.0        1  1102914        6.184920          6.186136   2.004821
86    400.0      6   300000.0  349999.0        3  1130665        6.176905          6.180981   1.991764
87    400.0      7   350000.0  399999.0        2  1153689        6.186257          6.184581   2.290888
88    400.0      8   400000.0  449999.0        0  1121371        6.170718          6.175124   1.954925
89    400.0      9   450000.0  499999.0        1  1119183        6.184321          6.180989   2.095662
