       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        0  1169018        7.548200          7.543161   2.393711
1       0.0      1    50000.0   99999.0        2  1110015        4.527844          4.532278   1.919976
2       0.0      2   100000.0  149999.0        0  1107760        6.847867          6.843532   2.659045
3       0.0      3   150000.0  199999.0        2  1112434        6.557184          6.555077   2.550091
4       0.0      4   200000.0  249999.0        1  1138661        6.341880          6.334229   2.195488
5       0.0      5   250000.0  299999.0        0  1112400        6.712022          6.711469   2.386684
6       0.0      6   300000.0  349999.0        1  1124175        7.478904          7.480499   2.229740
7       0.0      7   350000.0  399999.0        0  1118953        6.550320          6.562584   2.095143
8       0.0      8   400000.0  449999.0        2  1172386        6.604908          6.602805   2.689617
9       0.0      9   450000.0  499999.0        0  1168981        5.952152          5.950657   2.257090
10      0.0     10   500000.0  549999.0        2  1135207        8.089734          8.091159   2.122090
11      0.0     11   550000.0  599999.0        1  1129580        7.665191          7.663708   2.398437
12      0.0     12   600000.0  649999.0        2  1079888        6.784825          6.789968   2.159312
13      0.0     13   650000.0  699999.0        1  1125910        6.684696          6.682472   2.509227
14      0.0     14   700000.0  749999.0        1  1143606        6.205672          6.198105   2.276052
15      0.0     15   750000.0  799999.0        1  1096980        9.299698          9.298690   1.808172
16      0.0     16   800000.0  849999.0        1  1101561        9.072025          9.073393   2.226126
17      0.0     17   850000.0  899999.0        2  1140337        5.914210          5.909540   1.886497
18      0.0     18   900000.0  949999.0        0  1122987        6.151924          6.149921   2.565229
19      0.0     19   950000.0  999999.0        1  1119798        5.931586          5.921261   2.321450
20    100.0      0        0.0   49999.0        0  1169018        4.198996          4.193781   2.400448
21    100.0      1    50000.0   99999.0        2  1110015        1.774405          1.775756   1.840420
22    100.0      2   100000.0  149999.0        0  1107760        3.466034          3.460150   2.530443
23    100.0      3   150000.0  199999.0        2  1112434        4.144863          4.142722   2.591308
24    100.0      4   200000.0  249999.0        1  1138661        3.614636          3.608856   2.298348
25    100.0      5   250000.0  299999.0        0  1112400        3.911726          3.910810   2.457831
26    100.0      6   300000.0  349999.0        1  1124175        2.857385          2.864274   2.216829
27    100.0      7   350000.0  399999.0        0  1118953        3.093862          3.104120   2.105468
28    100.0      8   400000.0  449999.0        2  1172386        3.758718          3.756941   2.798796
29    100.0      9   450000.0  499999.0        0  1168981        3.631709          3.628354   2.475791
30    100.0     10   500000.0  549999.0        2  1135207        4.854445          4.852989   2.192687
31    100.0     11   550000.0  599999.0        1  1129580        4.385481          4.388135   2.437478
32    100.0     12   600000.0  649999.0        2  1079888        3.588919          3.590069   2.144953
33    100.0     13   650000.0  699999.0        1  1125910        3.594579          3.591480   2.526554
34    100.0     14   700000.0  749999.0        1  1143606        3.332056          3.326816   2.320230
35    100.0     15   750000.0  799999.0        1  1096980        5.506328          5.509687   1.809671
36    100.0     16   800000.0  849999.0        1  1101561        5.437597          5.438747   2.263256
37    100.0     17   850000.0  899999.0        2  1140337        3.274317          3.273365   1.969335
