       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        3  1082026       10.105547         10.110091   1.866645
1       0.0      1    50000.0   99999.0        1  1117277       10.187517         10.182953   2.052008
2       0.0      2   100000.0  149999.0        0  1085080       10.168064         10.161803   1.892994
3       0.0      3   150000.0  199999.0        0  1127622       10.204171         10.206649   2.150159
4       0.0      4   200000.0  249999.0        2  1080490       10.192546         10.197516   2.108820
5       0.0      5   250000.0  299999.0        0  1090862       10.180229         10.175270   2.167164
6       0.0      6   300000.0  349999.0        1  1068377        9.347787          9.340322   1.947435
7       0.0      7   350000.0  399999.0        2  1121019        6.674214          6.661284   2.003918
8       0.0      8   400000.0  449999.0        2  1144320        6.797725          6.790501   2.386863
9       0.0      9   450000.0  499999.0        2  1097144        6.554541          6.544225   2.170332
10      0.0     10   500000.0  549999.0        1  1117655        6.660209          6.663213   2.643533
11      0.0     11   550000.0  599999.0        1  1134577        6.991847          6.979485   2.306904
12      0.0     12   600000.0  649999.0        2  1116662        7.691173          7.701733   2.366675
13      0.0     13   650000.0  699999.0        0  1155589        7.323897          7.322684   2.360987
14      0.0     14   700000.0  749999.0        0  1123069        5.562275          5.565823   2.427473
15      0.0     15   750000.0  799999.0        1  1116693        6.390479          6.393620   2.050224
16      0.0     16   800000.0  849999.0        1  1126262        7.715038          7.722937   2.571428
17      0.0     17   850000.0  899999.0        1  1105569        7.440200          7.435887   2.318790
18      0.0     18   900000.0  949999.0        0  1110674        7.892407          7.892876   2.323715
19      0.0     19   950000.0  999999.0        0  1154411        5.964406          5.973735   2.143780
20    100.0      0        0.0   49999.0        3  1082026        6.162213          6.160482   1.880414
21    100.0      1    50000.0   99999.0        1  1117277        6.175573          6.175123   2.061665
22    100.0      2   100000.0  149999.0        0  1085080        6.174523          6.174926   1.901990
23    100.0      3   150000.0  199999.0        0  1127622        6.196529          6.199051   2.163635
24    100.0      4   200000.0  249999.0        2  1080490        6.196593          6.198640   2.122316
25    100.0      5   250000.0  299999.0        0  1090862        6.188164          6.188218   2.182663
26    100.0      6   300000.0  349999.0        1  1068377        5.481070          5.473595   1.936690
27    100.0      7   350000.0  399999.0        2  1121019        3.466418          3.454849   1.977649
28    100.0      8   400000.0  449999.0        2  1144320        3.803606          3.796305   2.445825
29    100.0      9   450000.0  499999.0        2  1097144        3.467228          3.458522   2.172784
30    100.0     10   500000.0  549999.0        1  1117655        3.428578          3.430821   2.606678
31    100.0     11   550000.0  599999.0        1  1134577        4.034949          4.028081   2.393699
32    100.0     12   600000.0  649999.0        2  1116662        4.574941          4.582577   2.459520
33    100.0     13   650000.0  699999.0        0  1155589        4.366859          4.364504   2.475160
34    100.0     14   700000.0  749999.0        0  1123069        2.912576          2.915958   2.503166
