       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        1  1080507        6.684540          6.681510   2.163761
1       0.0      1    50000.0   99999.0        0  1103638        6.931505          6.943847   2.266487
2       0.0      2   100000.0  149999.0        1  1095579        6.726339          6.726656   2.058886
3       0.0      3   150000.0  199999.0        1  1153725        7.706882          7.687657   2.253213
4       0.0      4   200000.0  249999.0        3  1093927       10.120786         10.126450   1.789110
5       0.0      5   250000.0  299999.0        1  1087463        8.864052          8.864920   2.073953
6       0.0      6   300000.0  349999.0        0  1107448       10.024552         10.014703   2.101979
7       0.0      7   350000.0  399999.0        1  1080832       10.064591         10.065592   1.770331
8       0.0      8   400000.0  449999.0        4  1113074       10.036873         10.038023   2.063710
9       0.0      9   450000.0  499999.0        0  1131516       10.100638         10.105381   2.073580
10      0.0     10   500000.0  549999.0        1  1091931       10.116235         10.117067   1.824190
11      0.0     11   550000.0  599999.0        0  1120202       10.173568         10.181994   2.310989
12      0.0     12   600000.0  649999.0        1  1136316       10.158180         10.158165   2.006188
13      0.0     13   650000.0  699999.0        1  1089719       10.227750         10.229079   2.217604
14      0.0     14   700000.0  749999.0        3  1091399       10.171779         10.168443   1.896859
15      0.0     15   750000.0  799999.0        2  1095127        9.895057          9.894528   2.078749
16      0.0     16   800000.0  849999.0        0  1102313        5.618536          5.618882   1.993725
17      0.0     17   850000.0  899999.0        0  1116578        2.430431          2.438907   1.266322
18      0.0     18   900000.0  949999.0        0  1110283        3.291615          3.298066   1.353573
19      0.0     19   950000.0  999999.0        0  1108783        4.045125          4.041662   1.036162
20    100.0      0        0.0   49999.0        1  1080507        4.163583          4.161513   2.357663
21    100.0      1    50000.0   99999.0        0  1103638        3.660169          3.671657   2.243874
22    100.0      2   100000.0  149999.0        1  1095579        3.379466          3.380964   1.995678
23    100.0      3   150000.0  199999.0        1  1153725        4.199718          4.181597   2.222753
24    100.0      4   200000.0  249999.0        3  1093927        6.016077          6.019572   1.771304
25    100.0      5   250000.0  299999.0        1  1087463        5.141369          5.144116   2.070246
26    100.0      6   300000.0  349999.0        0  1107448        6.130607          6.127533   2.129775
27    100.0      7   350000.0  399999.0        1  1080832        6.109598          6.112484   1.777997
28    100.0      8   400000.0  449999.0        4  1113074        6.085611          6.085403   2.077224
29    100.0      9   450000.0  499999.0        0  1131516        6.074005          6.074358   2.073648
30    100.0     10   500000.0  549999.0        1  1091931        6.097817          6.096307   1.822669
31    100.0     11   550000.0  599999.0        0  1120202        6.100890          6.101498   2.307736
32    100.0     12   600000.0  649999.0        1  1136316        6.147902          6.150678   2.013317
33    100.0     13   650000.0  699999.0        1  1089719        6.192274          6.190955   2.227074
34    100.0     14   700000.0  749999.0        3  1091399        6.178684          6.176207   1.905645
35    100.0     15   750000.0  799999.0        2  1095127        5.981029          5.981879   2.092825
36    100.0     16   800000.0  849999.0        0  1102313        3.581544          3.578147   2.256567
37    100.0     17   850000.0  899999.0        0  1116578        0.199641          0.203533   1.170168
38    100.0     18   900000.0  949999.0        0  1110283       -0.326165         -0.324174   0.876892
39    100.0     19   950000.0  999999.0        0  1108783        2.380727          2.377992   1.148792
40    200.0      0        0.0   49999.0        1  1080507        3.764871          3.763236   2.230917
41    200.0      1    50000.0   99999.0        0  1103638        3.515998          3.528572   2.196807
42    200.0      2   100000.0  149999.0        1  1095579        3.353937          3.355581   1.987859
43    200.0      3   150000.0  199999.0        1  1153725        4.150195          4.132699   2.208127
44    200.0      4   200000.0  249999.0        3  1093927        6.139940          6.142840   1.794268
45    200.0      5   250000.0  299999.0        1  1087463        5.117889          5.121155   2.063934
46    200.0      6   300000.0  349999.0        0  1107448        5.929927          5.929263   2.084607
47    200.0      7   350000.0  399999.0        1  1080832        6.089718          6.089650   1.774018
48    200.0      8   400000.0  449999.0        4  1113074        6.090393          6.089460   2.078418
