       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        0  1103534        5.313118          5.323987   1.699794
1       0.0      1    50000.0   99999.0        0  1106446        6.756587          6.762777   2.437666
2       0.0      2   100000.0  149999.0        2  1187024        6.903222          6.906811   2.996060
3       0.0      3   150000.0  199999.0        1  1125262        5.834521          5.826512   2.380007
4       0.0      4   200000.0  249999.0        1  1145611        5.633390          5.635597   2.351115
5       0.0      5   250000.0  299999.0        0  1137695        7.096858          7.091696   2.300702
6       0.0      6   300000.0  349999.0        0  1162301        4.954534          4.953017   2.048697
7       0.0      7   350000.0  399999.0        0  1148969        6.653635          6.653727   2.035302
8       0.0      8   400000.0  449999.0        1  1068371        6.653655          6.653582   2.377548
9       0.0      9   450000.0  499999.0        0  1146376        4.897492          4.888182   1.422227
10      0.0     10   500000.0  549999.0        0  1126089        8.185775          8.179478   1.563708
11      0.0     11   550000.0  599999.0        0  1129752        7.621332          7.639529   2.149442
12      0.0     12   600000.0  649999.0        0  1109449        7.024443          7.007914   2.220905
13      0.0     13   650000.0  699999.0        0  1138704       10.124751         10.129103   1.861967
14      0.0     14   700000.0  749999.0        6  1117702       10.205481         10.209920   1.892715
15      0.0     15   750000.0  799999.0        3  1123535       10.206020         10.210988   1.914512
16      0.0     16   800000.0  849999.0        3  1151830       10.239467         10.239651   2.084725
17      0.0     17   850000.0  899999.0        0  1135369       10.169598         10.167102   1.732053
18      0.0     18   900000.0  949999.0        2  1152684       10.270714         10.266157   2.259427
19      0.0     19   950000.0  999999.0        1  1118026       10.151742         10.152839   1.893767
20    100.0      0        0.0   49999.0        0  1103534        2.353793          2.357845   1.636060
21    100.0      1    50000.0   99999.0        0  1106446        3.651127          3.655987   2.406451
22    100.0      2   100000.0  149999.0        2  1187024        3.530280          3.531052   2.925202
23    100.0      3   150000.0  199999.0        1  1125262        2.898260          2.892450   2.369434
24    100.0      4   200000.0  249999.0        1  1145611        2.998450          3.000016   2.441189
25    100.0      5   250000.0  299999.0        0  1137695        4.015258          4.008897   2.352655
26    100.0      6   300000.0  349999.0        0  1162301        2.603941          2.602568   2.161520
