       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
70    300.0     10   500000.0  549999.0        1  1134868        2.636194          2.631716   2.882863
71    300.0     11   550000.0  599999.0        1  1119058        2.862041          2.863599   2.849448
72    300.0     12   600000.0  649999.0        1  1098326        2.750797          2.752615   2.771445
73    300.0     13   650000.0  699999.0        1  1134528        3.288053          3.288435   3.267287
74    300.0     14   700000.0  749999.0        1  1131376        2.862423          2.857721   3.062351
75    300.0     15   750000.0  799999.0        1  1136202        3.547438          3.547852   3.223043
76    300.0     16   800000.0  849999.0        1  1112850        3.510155          3.508851   2.880152
77    300.0     17   850000.0  899999.0        1  1128502        3.138044          3.136495   2.780082
78    300.0     18   900000.0  949999.0        1  1112028        2.460644          2.456926   2.741674
79    300.0     19   950000.0  999999.0        0  1057973        2.838274          2.830967   2.874420
80    400.0      0        0.0   49999.0        3  1120448        2.893715          2.886666   2.763811
81    400.0      1    50000.0   99999.0        1  1114003        2.758299          2.751777   2.641241
82    400.0      2   100000.0  149999.0        1  1072907        3.085671          3.083169   2.882823
83    400.0      3   150000.0  199999.0        0  1092642        3.494969          3.489413   3.130628
84    400.0      4   200000.0  249999.0        1  1126873        3.401806          3.397880   3.102923
85    400.0      5   250000.0  299999.0        1  1142987        2.988901          2.991376   2.903369
86    400.0      6   300000.0  349999.0        1  1113675        2.292568          2.288935   2.528460
87    400.0      7   350000.0  399999.0        1  1092479        3.309432          3.312674   2.823785
88    400.0      8   400000.0  449999.0        1  1126673        3.563531          3.564898   3.341180
89    400.0      9   450000.0  499999.0        1  1132642        3.437902          3.438799   3.475280
90    400.0     10   500000.0  549999.0        1  1134868        3.190453          3.186349   3.158567
91    400.0     11   550000.0  599999.0        1  1119058        3.151267          3.147559   2.989620
92    400.0     12   600000.0  649999.0        1  1098326        2.891552          2.894928   2.837283
93    400.0     13   650000.0  699999.0        1  1134528        3.296935          3.299253   3.289906
94    400.0     14   700000.0  749999.0        1  1131376        2.867900          2.862332   3.137205
95    400.0     15   750000.0  799999.0        1  1136202        3.220248          3.218968   3.171656
96    400.0     16   800000.0  849999.0        1  1112850        3.325844          3.329280   2.954936
97    400.0     17   850000.0  899999.0        1  1128502        3.032806          3.032873   2.971802
98    400.0     18   900000.0  949999.0        1  1112028        2.753539          2.745397   3.001098
99    400.0     19   950000.0  999999.0        0  1057973        3.155740          3.146371   3.119671
100   500.0      0        0.0   49999.0        3  1120448        3.096682          3.091740   2.870610
101   500.0      1    50000.0   99999.0        1  1114003        2.978333          2.971551   2.737346
