       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        0  1146495        3.078573          3.089397   1.430053
1       0.0      1    50000.0   99999.0        0  1118668        5.536109          5.536341   2.326414
2       0.0      2   100000.0  149999.0        0  1105011        5.666641          5.656688   1.941059
3       0.0      3   150000.0  199999.0        1  1112574        9.775739          9.789067   1.343819
4       0.0      4   200000.0  249999.0        1  1159551        9.163711          9.153875   2.144267
5       0.0      5   250000.0  299999.0        0  1084124        7.132425          7.134482   2.098530
6       0.0      6   300000.0  349999.0        0  1146410        7.323317          7.318662   2.302941
7       0.0      7   350000.0  399999.0        2  1114435       10.158565         10.142876   1.929857
8       0.0      8   400000.0  449999.0        1  1096807       10.221855         10.222632   1.966447
9       0.0      9   450000.0  499999.0        1  1131366       10.201194         10.204616   1.893931
10      0.0     10   500000.0  549999.0        1  1142497       10.235856         10.235421   2.090233
11      0.0     11   550000.0  599999.0        1  1121962       10.221647         10.219356   2.034154
12      0.0     12   600000.0  649999.0        2  1129861       10.231583         10.227597   2.080910
13      0.0     13   650000.0  699999.0        0  1122065       10.203481         10.204345   1.953100
14      0.0     14   700000.0  749999.0        1  1096053       10.204253         10.201817   1.954294
15      0.0     15   750000.0  799999.0        0  1086581        8.697239          8.692720   1.942066
16      0.0     16   800000.0  849999.0        1  1113166        6.672993          6.679247   1.761535
17      0.0     17   850000.0  899999.0        2  1123498       10.232039         10.234768   2.101237
18      0.0     18   900000.0  949999.0        2  1126490       10.247535         10.246097   2.185225
19      0.0     19   950000.0  999999.0        4  1104410       10.213232         10.208608   1.994509
20    100.0      0        0.0   49999.0        0  1146495        1.081638          1.091816   1.499414
21    100.0      1    50000.0   99999.0        0  1118668        2.825330          2.826123   2.371735
22    100.0      2   100000.0  149999.0        0  1105011        3.219104          3.211168   2.069428
23    100.0      3   150000.0  199999.0        1  1112574        5.949126          5.951578   1.348929
24    100.0      4   200000.0  249999.0        1  1159551        5.299995          5.291210   2.126434
25    100.0      5   250000.0  299999.0        0  1084124        3.822549          3.824445   2.080164
26    100.0      6   300000.0  349999.0        0  1146410        3.937481          3.931418   2.277135
27    100.0      7   350000.0  399999.0        2  1114435        5.980216          5.974612   1.901115
28    100.0      8   400000.0  449999.0        1  1096807        6.039790          6.040042   1.939107
29    100.0      9   450000.0  499999.0        1  1131366        5.968357          5.968833   1.854034
30    100.0     10   500000.0  549999.0        1  1142497        5.938490          5.939771   2.038048
31    100.0     11   550000.0  599999.0        1  1121962        5.959088          5.957981   1.988037
32    100.0     12   600000.0  649999.0        2  1129861        5.977382          5.975483   2.037796
33    100.0     13   650000.0  699999.0        0  1122065        5.933127          5.931164   1.905712
34    100.0     14   700000.0  749999.0        1  1096053        5.893427          5.896963   1.900391
35    100.0     15   750000.0  799999.0        0  1086581        5.044703          5.039349   1.941314
36    100.0     16   800000.0  849999.0        1  1113166        4.012635          4.018110   1.877616
37    100.0     17   850000.0  899999.0        2  1123498        5.933206          5.930999   2.048144
38    100.0     18   900000.0  949999.0        2  1126490        5.903221          5.902798   2.122285
39    100.0     19   950000.0  999999.0        4  1104410        5.941549          5.937267   1.946375
40    200.0      0        0.0   49999.0        0  1146495        2.063490          2.073010   1.840112
41    200.0      1    50000.0   99999.0        0  1118668        3.665384          3.667780   2.700790
42    200.0      2   100000.0  149999.0        0  1105011        3.842809          3.836770   2.270555
43    200.0      3   150000.0  199999.0        1  1112574        5.816172          5.817333   1.331317
44    200.0      4   200000.0  249999.0        1  1159551        5.190639          5.183987   2.102402
45    200.0      5   250000.0  299999.0        0  1084124        3.719403          3.720086   2.051837
46    200.0      6   300000.0  349999.0        0  1146410        3.980779          3.975074   2.292946
47    200.0      7   350000.0  399999.0        2  1114435        6.141242          6.139631   1.938221
48    200.0      8   400000.0  449999.0        1  1096807        6.166738          6.170837   1.969564
49    200.0      9   450000.0  499999.0        1  1131366        6.177895          6.179985   1.899125
50    200.0     10   500000.0  549999.0        1  1142497        6.180125          6.180449   2.093867
51    200.0     11   550000.0  599999.0        1  1121962        6.176750          6.176462   2.037109
52    200.0     12   600000.0  649999.0        2  1129861        6.162683          6.163329   2.080809
53    200.0     13   650000.0  699999.0        0  1122065        6.140372          6.138742   1.949438
54    200.0     14   700000.0  749999.0        1  1096053        6.105219          6.105879   1.943731
