       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        2  1031976        4.916964          4.918022   1.093099
1       0.0      1    50000.0   99999.0        0  1076908        8.405788          8.413007   0.718878
2       0.0      2   100000.0  149999.0        0  1057554        7.713560          7.720119   1.435926
3       0.0      3   150000.0  199999.0        1  1040282        9.202725          9.205428   2.285140
4       0.0      4   200000.0  249999.0        0  1026899        6.111698          6.106512   0.918784
5       0.0      5   250000.0  299999.0        2  1030773       10.116792         10.120603   1.722212
6       0.0      6   300000.0  349999.0        1  1077119       10.211747         10.211510   2.108130
7       0.0      7   350000.0  399999.0        0  1026491        9.726566          9.729397   1.896138
8       0.0      8   400000.0  449999.0        0  1007118       10.116420         10.117581   1.994711
9       0.0      9   450000.0  499999.0        4  1035156       10.203791         10.199823   2.114760
10      0.0     10   500000.0  549999.0        1  1047705       10.148480         10.150534   1.890427
11      0.0     11   550000.0  599999.0        2  1063695       10.196020         10.201043   2.084729
12      0.0     12   600000.0  649999.0        3  1035741       10.203290         10.201773   2.079430
13      0.0     13   650000.0  699999.0        3  1049050       10.203943         10.209102   2.082902
14      0.0     14   700000.0  749999.0        1  1044555        9.191520          9.194913   1.819006
15      0.0     15   750000.0  799999.0        0  1042997        6.343497          6.359322   0.586699
16      0.0     16   800000.0  849999.0        0  1035572       -1.399764         -1.357691   0.006655
17      0.0     17   850000.0  899999.0        0  1037599        7.305831          7.299730   0.927552
18      0.0     18   900000.0  949999.0        0  1014987        8.849884          8.843651   2.181644
19      0.0     19   950000.0  999999.0        0  1071436        4.213812          4.222606   1.362920
20    200.0      0        0.0   49999.0        2  1031976        4.454078          4.451051   1.512709
21    200.0      1    50000.0   99999.0        0  1076908        1.590997          1.589565   0.832396
22    200.0      2   100000.0  149999.0        0  1057554        2.367083          2.367792   1.448821
23    200.0      3   150000.0  199999.0        1  1040282        5.476684          5.476004   2.305300
24    200.0      4   200000.0  249999.0        0  1026899        4.029517          4.022821   1.030008
25    200.0      5   250000.0  299999.0        2  1030773        6.089891          6.093245   1.718041
26    200.0      6   300000.0  349999.0        1  1077119        6.104478          6.101638   2.097559
27    200.0      7   350000.0  399999.0        0  1026491        5.642673          5.642736   1.861647
28    200.0      8   400000.0  449999.0        0  1007118        5.945339          5.943874   1.965189
29    200.0      9   450000.0  499999.0        4  1035156        6.149098          6.149151   2.118306
30    200.0     10   500000.0  549999.0        1  1047705        6.156380          6.154976   1.898056
31    200.0     11   550000.0  599999.0        2  1063695        6.176269          6.176949   2.094247
32    200.0     12   600000.0  649999.0        3  1035741        6.171228          6.170721   2.088849
33    200.0     13   650000.0  699999.0        3  1049050        6.163741          6.164446   2.091025
34    200.0     14   700000.0  749999.0        1  1044555        5.519153          5.523238   1.844353
35    200.0     15   750000.0  799999.0        0  1042997        3.581393          3.592389   0.593141
36    200.0     16   800000.0  849999.0        0  1035572       -1.333757         -1.287229   0.006391
37    200.0     17   850000.0  899999.0        0  1037599        4.480180          4.476218   0.970422
38    200.0     18   900000.0  949999.0        0  1014987        5.382129          5.378656   2.245581
39    200.0     19   950000.0  999999.0        0  1071436        1.476207          1.479649   1.280099
40    400.0      0        0.0   49999.0        2  1031976        5.171459          5.172453   1.652280
41    400.0      1    50000.0   99999.0        0  1076908        2.319198          2.319286   0.956521
42    400.0      2   100000.0  149999.0        0  1057554        2.262331          2.260802   1.420809
43    400.0      3   150000.0  199999.0        1  1040282        5.367024          5.367298   2.276827
44    400.0      4   200000.0  249999.0        0  1026899        4.847659          4.842216   1.146142
45    400.0      5   250000.0  299999.0        2  1030773        6.141951          6.144038   1.729457
46    400.0      6   300000.0  349999.0        1  1077119        6.181175          6.179736   2.117300
47    400.0      7   350000.0  399999.0        0  1026491        5.680800          5.681893   1.868525
48    400.0      8   400000.0  449999.0        0  1007118        6.176405          6.176014   2.012826
49    400.0      9   450000.0  499999.0        4  1035156        6.184924          6.183850   2.124746
50    400.0     10   500000.0  549999.0        1  1047705        6.165362          6.166737   1.899149
51    400.0     11   550000.0  599999.0        2  1063695        6.187138          6.186380   2.093959
52    400.0     12   600000.0  649999.0        3  1035741        6.188768          6.186853   2.088885
53    400.0     13   650000.0  699999.0        3  1049050        6.188692          6.189730   2.092677
54    400.0     14   700000.0  749999.0        1  1044555        5.850984          5.851505   1.909476
55    400.0     15   750000.0  799999.0        0  1042997        4.076854          4.080486   0.633719
56    400.0     16   800000.0  849999.0        0  1035572       -1.254967         -1.257344   0.006350
57    400.0     17   850000.0  899999.0        0  1037599        2.761871          2.754717   0.882868
58    400.0     18   900000.0  949999.0        0  1014987        4.968133          4.971177   2.138016
59    400.0     19   950000.0  999999.0        0  1071436        1.680681          1.680354   1.335151
60    600.0      0        0.0   49999.0        2  1031976        4.558395          4.556278   1.530326
61    600.0      1    50000.0   99999.0        0  1076908        3.150060          3.149264   1.098863
62    600.0      2   100000.0  149999.0        0  1057554        2.700567          2.699484   1.533025
63    600.0      3   150000.0  199999.0        1  1040282        5.104927          5.102608   2.205933
64    600.0      4   200000.0  249999.0        0  1026899        5.969738          5.971413   1.304388
65    600.0      5   250000.0  299999.0        2  1030773        6.066101          6.063507   1.712473
66    600.0      6   300000.0  349999.0        1  1077119        6.122909          6.122686   2.101876
67    600.0      7   350000.0  399999.0        0  1026491        5.999579          6.002550   1.933315
68    600.0      8   400000.0  449999.0        0  1007118        6.137007          6.143208   2.002832
69    600.0      9   450000.0  499999.0        4  1035156        6.151339          6.152727   2.114336
70    600.0     10   500000.0  549999.0        1  1047705        6.129726          6.129363   1.889309
71    600.0     11   550000.0  599999.0        2  1063695        6.139484          6.141031   2.083043
72    600.0     12   600000.0  649999.0        3  1035741        6.147835          6.145619   2.079517
73    600.0     13   650000.0  699999.0        3  1049050        6.126867          6.130417   2.080565
74    600.0     14   700000.0  749999.0        1  1044555        5.642052          5.643215   1.914922
75    600.0     15   750000.0  799999.0        0  1042997        3.819649          3.824336   0.629947
76    600.0     16   800000.0  849999.0        0  1035572       -1.404214         -1.405629   0.006578
77    600.0     17   850000.0  899999.0        0  1037599        2.101263          2.096835   0.951987
78    600.0     18   900000.0  949999.0        0  1014987        4.906082          4.908717   2.120380
79    600.0     19   950000.0  999999.0        0  1071436        2.338563          2.336935   1.512812
