       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        0  1084165        3.628110          3.622294   1.572443
1       0.0      1    50000.0   99999.0        0  1097660        4.174814          4.163055   1.172776
2       0.0      2   100000.0  149999.0        1  1109720        8.151876          8.133107   0.913093
3       0.0      3   150000.0  199999.0        0  1146415       10.191195         10.190461   2.166418
4       0.0      4   200000.0  249999.0        1  1078480       10.224011         10.222127   2.069606
5       0.0      5   250000.0  299999.0        4  1058137       10.202762         10.206861   1.992089
6       0.0      6   300000.0  349999.0        1  1099979       10.233726         10.225935   2.133924
7       0.0      7   350000.0  399999.0        3  1086082       10.212279         10.216620   2.076498
8       0.0      8   400000.0  449999.0        0  1080112       10.212405         10.216862   2.063751
9       0.0      9   450000.0  499999.0        3  1102549       10.198256         10.200916   2.029712
10      0.0     10   500000.0  549999.0        1  1111926       10.236853         10.244331   2.235699
11      0.0     11   550000.0  599999.0        2  1158213       10.124271         10.125460   1.860383
12      0.0     12   600000.0  649999.0        1  1174242        9.344732          9.355289   0.595502
13      0.0     13   650000.0  699999.0        1  1086672       10.186581         10.190132   1.933813
14      0.0     14   700000.0  749999.0        0  1094408        7.617844          7.633831   1.058195
15      0.0     15   750000.0  799999.0        0  1064999        6.066709          6.066484   1.280469
16      0.0     16   800000.0  849999.0        0  1094601        7.109728          7.108753   1.186407
17      0.0     17   850000.0  899999.0        0  1081904        8.358936          8.357882   1.991797
18      0.0     18   900000.0  949999.0        1  1091006       10.151324         10.150912   2.076298
19      0.0     19   950000.0  999999.0        1  1094591       10.066112         10.066781   1.953528
20    100.0      0        0.0   49999.0        0  1084165        1.622522          1.620324   1.669035
21    100.0      1    50000.0   99999.0        0  1097660        1.258541          1.248537   1.054300
22    100.0      2   100000.0  149999.0        1  1109720        4.925790          4.912127   0.930429
23    100.0      3   150000.0  199999.0        0  1146415        6.203546          6.202079   2.185183
24    100.0      4   200000.0  249999.0        1  1078480        6.189622          6.187232   2.078511
25    100.0      5   250000.0  299999.0        4  1058137        6.138981          6.140824   1.992638
26    100.0      6   300000.0  349999.0        1  1099979        6.147501          6.146470   2.133607
27    100.0      7   350000.0  399999.0        3  1086082        6.146997          6.145564   2.076457
28    100.0      8   400000.0  449999.0        0  1080112        6.156055          6.157211   2.066334
29    100.0      9   450000.0  499999.0        3  1102549        6.157514          6.158390   2.035150
30    100.0     10   500000.0  549999.0        1  1111926        6.178582          6.180697   2.243179
31    100.0     11   550000.0  599999.0        2  1158213        6.050572          6.053309   1.852456
32    100.0     12   600000.0  649999.0        1  1174242        5.756071          5.764532   0.589717
33    100.0     13   650000.0  699999.0        1  1086672        6.056896          6.054212   1.917510
34    100.0     14   700000.0  749999.0        0  1094408        4.433666          4.447413   1.073091
35    100.0     15   750000.0  799999.0        0  1064999        2.491972          2.492385   1.148772
36    100.0     16   800000.0  849999.0        0  1094601        3.405373          3.409199   1.099611
37    100.0     17   850000.0  899999.0        0  1081904        4.263791          4.266840   1.863552
