       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        1  1161513        7.423382          7.420877   3.103683
1       0.0      1    50000.0   99999.0        0  1155421        7.060166          7.063695   3.252888
2       0.0      2   100000.0  149999.0        1  1143048        6.362069          6.366772   2.751222
3       0.0      3   150000.0  199999.0        0  1153214        9.141282          9.136541   2.112499
4       0.0      4   200000.0  249999.0        2  1171521       10.244737         10.247780   2.070759
5       0.0      5   250000.0  299999.0        2  1161540        7.973678          7.970947   2.437391
6       0.0      6   300000.0  349999.0        2  1130732        7.893858          7.893102   2.402587
7       0.0      7   350000.0  399999.0        1  1110634        7.801779          7.805859   2.184120
8       0.0      8   400000.0  449999.0        1  1157948        7.750011          7.755090   2.530287
9       0.0      9   450000.0  499999.0        0  1148722        7.761588          7.774244   2.321156
10      0.0     10   500000.0  549999.0        2  1192102        8.157012          8.155444   2.532363
11      0.0     11   550000.0  599999.0        1  1163107        8.498682          8.493584   2.480223
12      0.0     12   600000.0  649999.0        2  1161530        7.723346          7.728695   2.439738
13      0.0     13   650000.0  699999.0        0  1170563        8.429204          8.423200   2.071583
14      0.0     14   700000.0  749999.0        1  1115067       10.011902         10.011555   1.915932
15      0.0     15   750000.0  799999.0        0  1164181        9.978027          9.976031   1.859834
16      0.0     16   800000.0  849999.0        1  1118438        8.303299          8.300490   2.500977
17      0.0     17   850000.0  899999.0        1  1162595        2.849682          2.848147   1.059925
18      0.0     18   900000.0  949999.0        0  1162677        5.345003          5.350801   2.065515
19      0.0     19   950000.0  999999.0        2  1184479        6.071677          6.070148   2.936842
20    100.0      0        0.0   49999.0        1  1161513        3.979979          3.977175   3.069570
21    100.0      1    50000.0   99999.0        0  1155421        3.771870          3.775659   3.241890
22    100.0      2   100000.0  149999.0        1  1143048        3.499750          3.502130   2.835752
23    100.0      3   150000.0  199999.0        0  1153214        5.162439          5.160811   2.137233
24    100.0      4   200000.0  249999.0        2  1171521        3.166577          3.169073   2.078778
25    100.0      5   250000.0  299999.0        2  1161540        4.324863          4.319409   2.388515
26    100.0      6   300000.0  349999.0        2  1130732        4.269940          4.270963   2.354900
27    100.0      7   350000.0  399999.0        1  1110634        4.311189          4.311608   2.167549
28    100.0      8   400000.0  449999.0        1  1157948        3.989792          3.992904   2.530194
29    100.0      9   450000.0  499999.0        0  1148722        4.379491          4.386650   2.333555
30    100.0     10   500000.0  549999.0        2  1192102        4.527603          4.527119   2.502393
31    100.0     11   550000.0  599999.0        1  1163107        4.695717          4.695273   2.426742
